ip,icmp,tcp_22,tcp_23,tcp_80,tcp_443,tcp_9443
198.18.152.0,False,False,False,False,False,False
198.18.152.1,False,False,False,False,False,False
198.18.152.2,True,False,False,False,False,False
198.18.152.3,True,True,False,True,False,False
198.18.152.4,True,True,False,False,False,False
198.18.152.5,True,True,False,True,True,False
198.18.152.6,True,False,False,True,True,False
198.18.152.7,True,True,False,True,True,False
198.18.152.8,False,False,False,False,False,False
198.18.152.9,False,False,False,False,False,False
198.18.152.10,False,False,False,False,False,False
198.18.152.11,True,True,False,False,False,False
198.18.152.12,True,True,False,False,False,False
198.18.152.13,True,True,False,False,False,False
198.18.152.14,True,True,False,False,False,False
198.18.152.15,False,False,False,False,False,False
198.18.152.16,False,False,False,False,False,False
198.18.152.17,False,False,False,False,False,False
198.18.152.18,False,False,False,False,False,False
198.18.152.19,False,False,False,False,False,False
198.18.152.20,True,True,False,False,True,False
198.18.152.21,True,True,False,True,True,False
198.18.152.22,True,True,False,True,True,False
198.18.152.23,False,False,False,False,False,False
198.18.152.24,True,True,False,True,False,False
198.18.152.25,True,True,False,True,False,False
198.18.152.26,True,True,False,True,False,False
198.18.152.27,True,True,False,True,False,False
198.18.152.28,True,True,False,True,False,False
198.18.152.29,True,True,False,True,False,False
198.18.152.30,True,True,False,False,True,False
198.18.152.31,True,True,False,False,False,False
198.18.152.32,True,True,False,False,True,False
198.18.152.33,True,True,False,False,False,False
198.18.152.34,True,True,False,False,True,False
198.18.152.35,True,True,False,False,False,False
198.18.152.36,True,True,False,False,True,False
198.18.152.37,False,False,False,False,False,False
198.18.152.38,True,True,False,False,False,False
198.18.152.39,True,True,False,False,False,False
198.18.152.40,True,True,False,False,False,False
198.18.152.41,True,True,False,False,False,False
198.18.152.42,True,True,False,False,False,False
198.18.152.43,True,True,False,True,False,False
198.18.152.44,True,True,False,False,False,False
198.18.152.45,False,False,False,False,False,False
198.18.152.46,False,False,False,False,False,False
198.18.152.47,False,False,False,False,False,False
198.18.152.48,False,False,False,False,False,False
198.18.152.49,False,False,False,False,False,False
198.18.152.50,True,True,False,True,True,False
198.18.152.51,True,True,False,True,True,False
198.18.152.52,False,False,False,False,False,False
198.18.152.53,False,False,False,False,False,False
198.18.152.54,True,True,False,True,True,False
198.18.152.55,True,True,False,True,True,False
198.18.152.56,True,True,False,True,True,False
198.18.152.57,False,False,False,False,False,False
198.18.152.58,False,False,False,False,False,False
198.18.152.59,False,False,False,False,False,False
198.18.152.60,True,True,False,False,True,False
198.18.152.61,False,False,False,False,False,False
198.18.152.62,True,True,False,False,True,False
198.18.152.63,False,False,False,False,False,False
198.18.152.64,True,True,False,False,True,False
198.18.152.65,True,True,False,False,True,False
198.18.152.66,False,False,False,False,False,False
198.18.152.67,False,False,False,False,False,False
198.18.152.68,False,False,False,False,False,False
198.18.152.69,False,False,False,False,False,False
198.18.152.70,True,True,False,True,True,False
198.18.152.71,True,True,False,False,True,False
198.18.152.72,True,True,False,True,True,False
198.18.152.73,True,True,False,False,True,False
198.18.152.74,True,True,False,True,True,False
198.18.152.75,True,True,False,False,True,False
198.18.152.76,True,True,False,False,True,False
198.18.152.77,True,True,False,False,True,False
198.18.152.78,False,False,False,False,False,False
198.18.152.79,False,False,False,False,False,False
198.18.152.80,True,True,False,True,True,False
198.18.152.81,False,False,False,False,False,False
